,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
186,Los Angeles Dodgers,105,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betmgm,h2h
187,Seattle Mariners,-125,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betmgm,h2h
188,Los Angeles Dodgers,108,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,bovada,h2h
189,Seattle Mariners,-130,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,bovada,h2h
190,Los Angeles Dodgers,110,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,fanduel,h2h
191,Seattle Mariners,-130,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,fanduel,h2h
192,Los Angeles Dodgers,115,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betus,h2h
193,Seattle Mariners,-126,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betus,h2h
194,Los Angeles Dodgers,117,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,lowvig,h2h
195,Seattle Mariners,-129,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,lowvig,h2h
196,Los Angeles Dodgers,117,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betonlineag,h2h
197,Seattle Mariners,-129,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betonlineag,h2h
198,Arizona Diamondbacks,122,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,fanduel,h2h
199,San Diego Padres,-144,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,fanduel,h2h
200,Arizona Diamondbacks,123,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,mybookieag,h2h
201,San Diego Padres,-145,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,mybookieag,h2h
202,Arizona Diamondbacks,127,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,lowvig,h2h
203,San Diego Padres,-140,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,lowvig,h2h
204,Arizona Diamondbacks,127,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betonlineag,h2h
205,San Diego Padres,-140,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betonlineag,h2h
206,Arizona Diamondbacks,122,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,draftkings,h2h
207,San Diego Padres,-148,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,draftkings,h2h
208,Arizona Diamondbacks,116,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betrivers,h2h
209,San Diego Padres,-141,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betrivers,h2h
210,Arizona Diamondbacks,125,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betus,h2h
211,San Diego Padres,-138,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betus,h2h
212,Arizona Diamondbacks,120,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betmgm,h2h
213,San Diego Padres,-140,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,betmgm,h2h
214,Arizona Diamondbacks,116,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,bovada,h2h
215,San Diego Padres,-139,2025-09-27T01:41:00Z,San Diego Padres,Arizona Diamondbacks,bovada,h2h
216,Kansas City Royals,-116,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,fanduel,h2h
217,Oakland Athletics,-102,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,fanduel,h2h
218,Kansas City Royals,-114,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,mybookieag,h2h
219,Oakland Athletics,-103,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,mybookieag,h2h
220,Kansas City Royals,-120,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,bovada,h2h
221,Oakland Athletics,100,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,bovada,h2h
222,Kansas City Royals,-121,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betrivers,h2h
223,Oakland Athletics,100,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,betrivers,h2h
224,Kansas City Royals,-115,2025-09-27T02:06:00Z,Oakland Athletics,Kansas City Royals,draftkings,h2h
